Abu Dhabi, se Forente Arabiske Emirater;;
Trinidad og Tobago;680;
Tristan da Cunha, se St. Helena;;
Trucial Oman, se Forente Arabiske Emirater;;
Tsjekkiske rep., Den;158;
Tunisia;379;
Turkmenistan;552;
Turks- og Caicosøyene;681;139
Tuvalu ;816;
Tyrkia;143;
Tyskland;144;
Uganda;386;
Ukraina;148;
Um-al Qaivian, se Forente Arabiske Emirater;;
Ungarn;152;
Uoppgitt/ukjent;990;
Uruguay;770;
USA;684;
Usbekistan;554;
Vanuatu;812;
Vatikanstaten;154;
Venezuela;775;
Vest-Sahara;304;
Vietnam;575;
Wakeøya, se Mindre Stillehavsøyer;;
Wallis- og Futunaøyene;832;117
Yemen;578;
Zaire, se Kongo, Den demokr. republikk;;
Zambia;389;
Zimbabwe;326;
Øst-Timor;537;
Østerrike;153;
